sample	age	phenotype_age
SP0237	57	57.6141333333333
SP0238	58	49.9591666666667
SP0239	49	53.1561333333333
SP0240	44	25.0876333333333
SP0241	55	55.6892
SP0242	21	25.0599333333333
SP0243	25	40.3178666666667
SP0244	32	34.3222
SP0245	36	29.0618
SP0246	39	41.6707666666667
SP0247	31	22.1361666666667
SP0248	32	25.4995333333333
SP0249	31	28.1981666666667
SP0250	31	24.9701666666667
SP0251	31	34.9096333333333
SP0252	33	30.5760333333334
SP0253	28	29.6042333333333
SP0254	30	25.2549333333333
SP0255	37	33.7165
SP0256	27	24.2978333333333
SP0257	34	25.6177
SP0258	31	41.9001
SP0259	31	30.9451333333333
SP0260	32	35.4412
SP0261	33	36.5147
SP0262	31	25.6451666666667
SP0263	23	31.1853666666667
SP0264	31	52.219
SP0265	30	28.7332
SP0266	32	34.6421
SP0267	29	23.6514
SP0268	56	34.0272
SP0269	23	25.5834333333333
SP0270	25	24.8516333333333
SP0271	25	33.2704
SP0272	39	46.0188333333333
SP0273	23	24.5329666666667
SP0274	25	32.0014666666667
SP0275	23	23.4823
SP0276	22	24.9984
SP0277	35	26.4722666666667
SP0278	19	30.7629666666667
SP0279	20	24.2622333333333
SP0280	19	27.1240333333333
SP0281	59	34.0491666666667
SP0282	19	24.1071666666667
SP0283	24	22.7592666666667
SP0284	21	24.2238666666667
SP0285	27	22.9809666666667
SP0286	46	37.6259
SP0287	20	25.9792333333333
SP0288	19	22.6411
SP0289	19	23.0730666666667
SP0290	21	22.5833666666667
SP0291	51	54.0608666666667
SP0292	23	29.2482333333333
SP0293	22	25.5582666666666
SP0294	19	23.3623
SP0295	30	25.2731666666667
SP0296	19	24.4346333333333
SP0297	19	22.1979333333333
SP0298	21	25.2233
SP0299	20	26.2450333333333
SP0300	21	21.3579
SP0301	23	26.8531333333333
SP0302	21	22.2454333333333
SP0303	24	25.5982333333333
SP0304	19	22.9636666666667
SP0305	19	26.8213666666667
SP0306	20	38.8039
SP0307	58	44.6612
SP0308	21	25.2289333333333
SP0309	20	23.1937333333333
SP0310	19	29.5330666666667
SP0311	51	45.0857333333333
SP0312	18	31.133
SP0313	19	22.8316
SP0314	20	25.0740333333333
SP0315	21	23.5289
